# Kratos Data Export
# Generated: 2026-03-16T13:39:30.742152
# Rows: 6006
#
# --- Data Quality Report ---
# Completeness   100.0%                         threshold: >= 95.0%             [PASS]
# Accuracy       100.0%                         threshold: >= 98.0%             [PASS]
# Consistency    0 violations                   threshold: 0 violations         [PASS]
# Validity       100.0%                         threshold: >= 99.0%             [PASS]
# Uniqueness     0.0% duplicates                threshold: 0% duplicates        [PASS]
# Timeliness     11 days since latest record    threshold: <= 30 days           [PASS]
# Overall: PASS — All checks passed
#
party_id,name,party_type,party_status,account_id,account_number,account_type,account_status,current_balance,account_open_date,orc_code
e1a180fe-091f-4dd9-a744-49c2599cd275,Arunesh Lal,Individual,Active,4da5d9c2-06aa-4e46-a4f6-4660671519d1,CHK-000001,Savings,Active,10000.00,2026-03-05,Single
5062a9dd-fc6b-4957-8d52-1b3eee97f5a2,Michael Harris,Individual,Active,56ef3d3c-a791-4e45-8667-8e94b8e5701a,ACC-105536,Business Account,Active,59748.96,2026-02-03,Business_SoleProprietor
a2fe40ab-66f7-4eb6-bc1b-3ae7534028fb,Donna Young,Individual,Active,7dcaa43d-302d-4713-ac26-2c3509ce9050,ACC-102711,Certificate of Deposit,Active,3819.04,2026-02-03,IRA_Traditional
1e64c160-7e96-430b-94b5-5444ab6e7cf1,Betty Ramirez,Individual,Active,bf132a84-a4d3-4694-9956-98745b5f4b00,ACC-101038,Checking,Active,7418.02,2026-02-03,Single
46ee007d-bc15-4f2b-9902-a3377f4a95f3,Donald Rodriguez,Individual,Active,605d45de-15aa-4702-85f9-76161557f337,ACC-101400,Certificate of Deposit,Active,159600.09,2026-02-03,IRA_Roth
866ca3f9-894e-4c56-87dc-c035f4e81c8d,Joshua Young,Individual,Active,c9cc22b8-7c85-4e7d-a7eb-82e527d20f75,ACC-101061,Business Account,Active,295143.98,2026-02-02,Business_Partnership
d8e61455-8401-467f-b18f-6e7ec88cc871,Charles Williams,Individual,Active,58e04036-3e60-481c-85e1-2ec95f1b3d8a,ACC-100712,Trust Account,Active,221294.97,2026-02-02,Trust_Irrevocable
a474896f-808e-467c-9441-3617a073ce1b,Steven Davis,Individual,Active,7ac5611a-46ae-4002-a938-88e6ae8d1575,ACC-100874,Escrow Account,Active,117947.73,2026-02-02,FiduciaryOther
4a9b58d9-000c-4665-b320-00e8bcf2c3b7,James Rodriguez,Individual,Active,b5cf128e-9f69-4956-b1e2-f9876d149f9d,ACC-104841,Trust Account,Active,353093.41,2026-02-01,Trust_Irrevocable
bf1a8589-4d85-4bb9-aae7-0bd95e4a2d1c,Michael Hill,Individual,Active,94de9f3b-28ab-4ebc-b7d9-6a5777d1ac54,ACC-104139,Escrow Account,Active,184116.97,2026-01-31,FiduciaryOther
30e1ec64-aa71-4a20-8d6c-6cc73de7b869,Jessica Martin,Individual,Active,77ceeeda-3dd1-47dd-9fb6-35343d40af19,ACC-103818,Savings,Active,140176.32,2026-01-31,Single
6b771852-f531-45ba-96a6-498b0dd14cc3,James Johnson,Individual,Active,f519d421-d3f4-4e23-b47a-f4b22adf6c2e,ACC-100566,Trust Account,Active,287766.21,2026-01-31,Trust_Revocable
4c1185c3-79f6-48c1-8e58-f10920bb541a,Kimberly Martin,Individual,Active,a583c65f-7313-4626-9a23-b7f1c40e046e,ACC-103448,Individual Retirement Account,Active,202164.89,2026-01-30,IRA_SEP
13fab146-54af-451a-95df-cb2474634c3b,Barbara Davis,Individual,Active,581e2210-e61a-4f94-b330-f140c132a630,ACC-105942,Certificate of Deposit,Active,56473.71,2026-01-29,IRA_Roth
f65b4c69-ad17-401b-80da-d0ae5d61f3af,Betty Hill,Individual,Active,32baf369-4764-4dfe-8365-0e67ea2db97c,ACC-104165,Business Account,Active,51449.67,2026-01-27,Business_Partnership
8d7a40e7-7ea1-4ba7-b80f-148f6fddaf93,Richard Anderson,Individual,Active,8c918b14-c993-4593-822e-9d41e9889ae3,ACC-100530,Money Market,Active,58110.56,2026-01-27,Single
9e538d2f-6e69-42d4-8266-c583259ccfc4,Daniel King,Individual,Active,3288f2f4-01a4-4b7d-adc2-9b79b6c9add7,ACC-100072,Certificate of Deposit,Active,168745.56,2026-01-27,IRA_Traditional
1482d6fa-1650-4397-91b7-272af6309998,Donna Thompson,Individual,Active,f598cf01-ce5a-4513-b4f1-3a0bfc4b58e1,ACC-104473,Money Market,Active,129523.45,2026-01-26,Single
4dc45254-b60e-4232-b086-956156d5fe6a,Jessica Allen,Individual,Active,d4b8c72e-f46f-4394-ad4f-9fb7a2a3937f,ACC-100003,Business Account,Active,640052.01,2026-01-26,Business_SoleProprietor
34f1c84a-e050-484a-afa7-087aa5a13f29,Paul Anderson,Individual,Active,c3208581-a9fb-4be3-8e29-ccb369e22d4a,ACC-100169,Trust Account,Active,455906.70,2026-01-26,Trust_Revocable
b927961b-7b04-4e3e-a9a1-7df8b1c95c51,David Hernandez,Individual,Active,fb629396-5660-4104-850f-d10b6de2008b,ACC-101677,Certificate of Deposit,Active,117457.19,2026-01-25,IRA_Roth
ce9d7877-7ee1-4b4f-8733-3a8a63719eb0,Steven Garcia,Individual,Active,dea71f39-6b8b-49ff-8492-29e7ec33faae,ACC-100987,Certificate of Deposit,Active,160631.82,2026-01-25,IRA_Roth
6e5ff268-1d6c-48b3-bfc8-586a431b1fe2,Amanda Jackson,Individual,Active,c688a340-d473-4567-ba4c-a8d6bf646bc2,ACC-100558,Certificate of Deposit,Active,207661.83,2026-01-25,IRA_Traditional
cbecfe1a-f9de-4473-82ff-33799584717c,Carol Moore,Individual,Active,84ebb00f-82f4-4352-aafd-76d2a307938a,ACC-105980,Checking,Active,28433.29,2026-01-24,Business_SoleProprietor
85f4ee38-9df7-49a3-b573-8769ffc73d3e,Matthew Hernandez,Individual,Active,3015f1fa-b6ee-46e5-80f1-a944a8a751cb,ACC-102613,Money Market,Active,299487.56,2026-01-24,Single
7dfddb97-8877-4c8f-90de-506866a7d175,Dorothy Taylor,Individual,Active,f04e4bd0-2c87-423c-b089-e41785fa0c94,ACC-102843,Business Account,Active,56269.71,2026-01-23,Business_LLC
d149fcae-6420-4878-9427-1b2c08e13599,Sarah Scott,Individual,Active,3ff3a878-b814-4282-a24c-0b9644bff0ef,ACC-100225,Checking,Active,43092.61,2026-01-23,Business_SoleProprietor
bf126a90-435a-494f-974e-80ad4cd8be1e,Mary Smith,Individual,Active,fe278b28-686e-44d1-823f-b6113ddaebf6,ACC-103914,Certificate of Deposit,Active,197836.84,2026-01-22,Single
d776e12a-1652-4e51-8654-d8e438f9d786,Sandra Thompson,Individual,Active,6fc88464-907a-4272-a754-a1ecc1a8e522,ACC-101634,Individual Retirement Account,Active,193926.43,2026-01-22,IRA_Traditional
c1561169-28a8-4d63-9bfa-8d92edd0ff75,Carol Taylor,Individual,Active,7740c7ab-ab36-4217-b8a1-66f72eb2adf1,ACC-101805,Savings,Active,38984.64,2026-01-22,POD_PayableOnDeath
d22ead70-3e10-4def-94ac-1633b8d61ec8,John Lopez,Individual,Active,16e9f1ac-37d6-4e7b-af48-40d5ce4d9e1d,ACC-105311,Checking,Active,46902.74,2026-01-21,Joint_JTWROS
65a2b158-4a7f-4986-a34d-04a8653bbaa1,Mark Martinez,Individual,Active,27ac0996-786e-42ed-b413-84838efc6ad1,ACC-101978,Money Market,Active,40070.44,2026-01-21,Business_LLC
24b2a00e-009b-4e12-80f8-684444f3bfdb,Robert Martinez,Individual,Active,c6ddd446-5cba-46d5-b34b-fa7b943e4665,ACC-101431,Money Market,Active,145495.15,2026-01-21,Business_LLC
d6ba93cf-610b-461b-9207-ed4e8aaefbc3,Margaret Taylor,Individual,Active,3a684b59-3deb-4cda-b7eb-1c5dab6ab6f0,ACC-104640,Checking,Active,49103.92,2026-01-20,Joint_JTWROS
bb5cccd8-0399-4755-8226-127786a11665,Daniel Lewis,Individual,Active,8bac78ee-d556-4f43-b037-99127ed94414,ACC-102124,Escrow Account,Active,144668.93,2026-01-19,FiduciaryOther
c8902f27-806d-4ace-9d2c-f1ce4639490e,Emily Harris,Individual,Active,70be2b6d-0aae-43c5-bca5-126f6c8fd1ab,ACC-103473,Certificate of Deposit,Active,8328.99,2026-01-18,IRA_Traditional
bea9e87e-7eb4-4f64-a5b6-3b86eba1af58,Mark Wright,Individual,Active,0d4f452c-3a66-4edb-9a7d-32c909fb8dec,ACC-103565,Escrow Account,Active,94053.51,2026-01-17,Escrow_Agent
882d243b-99e3-412a-8dca-d5cc1ca761a4,Mark Martin,Individual,Active,ca4f078a-5127-40c2-b7ee-ac7ca71a684b,ACC-101131,Individual Retirement Account,Active,94739.68,2026-01-17,IRA_Roth
